No.;Time;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
453;143,617213;;143,617213;143,617213;0;;-0,000124;-0,000181;-5,70E-05
454;143,617213;;143,617213;143,617337;0,000124;;-0,000181;0,000206;0,000387
455;143,617337;;143,617337;143,617642;0,000305;;0,000206;-0,000498;-0,000704
456;143,617642;;143,617642;143,617741;9,90E-05;;-0,000498;0,000437;0,000935
457;143,617741;;143,617741;143,618338;0,000597;;0,000437;-0,002886;-0,003323
458;143,618338;;143,618338;143,618498;0,00016;;-0,002886;-0,04088;-0,037994
459;143,618498;;143,618498;143,621544;0,003046;;-0,04088;0,043798;0,084678
460;143,621544;;143,621544;143,66547;0,043926;;0,043798;-0,016747;-0,060545
461;143,66547;;143,66547;143,665598;0,000128;;-0,016747;0,016875;0,033622
462;143,665598;;143,665598;143,682473;0,016875;;0,016875;-0,000169;-0,017044
463;143,682473;;143,682473;143,682473;0;;-0,000169;-2,20E-05;0,000147
464;143,682473;;143,682473;143,682642;0,000169;;-2,20E-05;-0,000186;-0,000164
465;143,682642;;143,682642;143,682833;0,000191;;-0,000186;0,0003;0,000486
466;143,682833;;143,682833;143,68321;0,000377;;0,0003;-0,000802;-0,001102
467;143,68321;;143,68321;143,683287;7,70E-05;;-0,000802;0,000734;0,001536
468;143,683287;;143,683287;143,684166;0,000879;;0,000734;-0,002445;-0,003179
469;143,684166;;143,684166;143,684311;0,000145;;-0,002445;-0,006441;-0,003996
470;143,684311;;143,684311;143,686901;0,00259;;-0,006441;0,00887;0,015311
471;143,686901;;143,686901;143,695932;0,009031;;0,00887;-0,002072;-0,010942
472;143,695932;;143,695932;143,696093;0,000161;;-0,002072;-0,048738;-0,046666
473;143,696093;;143,696093;143,698326;0,002233;;-0,048738;0,049362;0,0981
474;143,698326;;143,698326;143,749297;0,050971;;0,049362;0,001609;-0,047753
475;143,749297;;143,749297;143,750906;0,001609;;0,001609;-0,000163;-0,001772
476;143,750906;;143,750906;143,750906;0;;-0,000163;-0,000249;-8,60E-05
477;143,750906;;143,750906;143,751069;0,000163;;-0,000249;0,000412;0,000661
478;143,751069;;143,751069;143,751481;0,000412;;0,000412;0;-0,000412
479;143,751481;;143,751481;143,751481;0;;0;-0,000171;-0,000171
